TPQ: 480
Tick	Seconds	Dur	Message
0	0		ff 3 d 41 6d 61 7a 69 6e 67 20 47 72 61 63 65 
0	0		ff 4 a 43 20 4f 72 69 67 69 6e 61 6c 
0	0		ff 59 2 0 0 
0	0		ff 58 4 3 2 18 8 
0	0		ff 54 5 21 0 2 6 14 
0	0		ff 51 3 e 15 c4 
0	0		f0 7e 7f 9 1 f7 
240	0.461538		f0 41 10 42 12 40 0 7f 0 41 f7 
481	0.924999		b0 0 0 
482	0.926922		b0 20 0 
483	0.928845		c0 0 
484	0.930768		b0 7 6e 
485	0.932691		b0 a 40 
486	0.934614		b0 b 7f 
487	0.936538		b0 5b 37 
488	0.938461		b0 5d 0 
505	0.971153		b3 0 0 
506	0.973076		b3 20 0 
507	0.974999		c3 41 
508	0.976922		b3 7 6e 
509	0.978845		b3 a 40 
510	0.980768		b3 b 7f 
511	0.982691		b3 5b 37 
512	0.984614		b3 5d 0 
578	1.11154		b0 65 0 
582	1.11923		b0 64 0 
586	1.12692		b0 6 2 
590	1.13461		b0 65 7f 
594	1.14231		b0 64 7f 
633	1.21731		b3 65 0 
637	1.225		b3 64 0 
641	1.23269		b3 6 2 
645	1.24038		b3 65 7f 
649	1.24808		b3 64 7f 
1440	2.76923	2.05577	90 29 46 
1440	2.76923	0.153846	90 38 4c 
1440	2.76923	1.06538	90 39 4d 
1440	2.76923	1.60961	90 3c 5b 
1448	2.78461	0.0980768	93 40 55 
1485	2.85577	1.77115	93 41 6b 
1499	2.88269		83 40 40 
1520	2.92307		90 38 0 
1677	3.225		b3 1 e 
1702	3.27307		b0 40 7f 
1714	3.29615		b3 1 25 
1761	3.38654		b3 1 3f 
1807	3.475		b3 1 53 
1846	3.55		b3 1 5d 
1901	3.65577		b3 1 62 
1920	3.6923	0.653845	90 35 47 
1966	3.78077		b3 1 67 
1994	3.83461		90 39 0 
2240	4.30769	0.730768	90 39 3f 
2246	4.31923		b3 1 62 
2260	4.34615		90 35 0 
2277	4.37884		90 3c 0 
2283	4.39038		b3 1 58 
2321	4.46346		b3 1 3b 
2358	4.53461		b3 1 0 
2367	4.55192		b0 40 0 
2389	4.59423	0.121154	93 44 59 
2400	4.61538	0.409615	90 35 52 
2400	4.61538	0.401923	90 3c 5c 
2406	4.62692		83 41 40 
2433	4.67884	0.528846	93 45 6b 
2452	4.71538		83 44 40 
2459	4.72884		b0 40 7f 
2509	4.825		90 29 0 
2560	4.92307	0.336538	90 2b 56 
2609	5.0173		90 3c 0 
2613	5.02499		90 35 0 
2620	5.03846		90 39 0 
2704	5.19999	0.165384	93 43 55 
2708	5.20769		83 45 40 
2720	5.23076	0.39911	90 2c 52 
2735	5.25961		90 2b 0 
2790	5.36538		83 43 40 
2798	5.38076	0.172618	93 41 5d 
2833	5.44807		b0 40 0 
2880	5.53846		ff 51 3 d aa 22 
2880	5.53846	2.55597	90 2d 5c 
2880	5.53846	0.593283	90 37 4f 
2880	5.53846	1.21642	90 3e 4e 
2880	5.53846	1.49813	90 40 56 
2888	5.55338		83 41 40 
2896	5.56831	0.136194	93 44 4c 
2929	5.62987		90 2c 0 
2952	5.67278	0.208955	93 45 62 
2969	5.7045		83 44 40 
3059	5.87241		b0 40 7f 
