th, trial, time,,
1,1,0.001462,,
1,2,0.001686,,
1,3,0.001652,,
1,4,0.001323,,
1,5,0.00167,,
1,6,0.001658,,
1,7,0.001495,,
1,8,0.001661,,
1,9,0.001667,,
1,10,0.001673,,
,,,,
2,1,0.002325,,
2,2,0.002362,,
2,3,0.002349,,
2,4,0.002258,,
2,5,0.002164,,
2,6,0.002296,,
2,7,0.002024,,
2,8,0.002181,,
2,9,0.002181,,
2,10,0.002092,,
,,,,
4,1,0.003081,,
4,2,0.003197,,
4,3,0.003952,,
4,4,0.002955,,
4,5,0.00291,,
4,6,0.002859,,
4,7,0.003171,,
4,8,0.002895,,
4,9,0.003228,,
4,10,0.003284,,
,,,,
8,1,0.003603,,
8,2,0.003634,,
8,3,0.004079,,
8,4,0.003979,,
8,5,0.003905,,
8,6,0.003863,,
8,7,0.003816,,
8,8,0.003606,,
8,9,0.003882,,
8,10,0.003919,,
,,,,
16,1,0.004745,, 
16,2,0.004497,,
16,3,0.004443,,
16,4,0.004331,,
16,5,0.004267,,
16,6,0.004103,,
16,7,0.004361,,
16,8,0.004304,,
16,9,0.00437,,
16,10,0.004272,,
,,,,
32,1,0.017709,,
32,2,0.019604,,
32,3,0.009463,,
32,4,0.023028,,
32,5,0.01407,,
