th, trial, time
1,1,0.010109
1,2,0.01018
1,3,0.010166
1,4,0.010698
1,5,0.010068
,,
2,1,0.024856
2,2,0.022602
2,3,0.024727
2,4,0.024624
2,5,0.024360
,,
4,1,0.013495
4,2,0.013908
4,3,0.013261
4,4,0.013234
4,5,0.013542
4,6,0.029773
4,7,0.025917
4,8,0.025058
4,9,0.025233
4,10,0.02486
,,
8,1,0.010353
8,2,0.007777
8,3,0.007944
8,4,0.008691
8,5,0.00731
8,6,0.007536
,,
16,1,0.005061
16,2,0.004183
16,3,0.004436
16,4,0.004235
16,5,0.004123
16,6,0.00448
16,7,0.004498
16,8,0.004414
16,9,0.004353
16,10,0.004426
,,
32,1,0.007218
32,2,0.013853
32,3,0.013965
32,4,0.013835
32,5,0.020092
