th, trial, time,,
1,1,0.010109
1,2,0.01018
1,3,0.010166
1,4,0.010698
1,5,0.010068
,,,,
2,1,0.088775,,
2,2,0.093328,,
2,3,0.088837,,
2,4,0.088641,,
2,5,0.089078,,
,,,,
4,1,0.011058,,
4,2,0.011160,,
4,3,0.010991,,
4,4,0.010270,,
4,5,0.010947,,
,,,,
8,1,0.006136,,
8,2,0.006223,,
8,3,0.006254,,
8,4,0.006216,,
8,5,0.006184,,
,,,,
16,1,0.004039,, 
16,2,0.003919,,
16,3,0.003887,,
16,4,0.003942,,
16,5,0.003845,,
,,,,
32,1,0.014232,,
32,2,0.014282,,
32,3,0.014290,,
32,4,0.014338,,
32,5,0.014286,,
