th, trial, time,,
1,1,0.001462,,
1,2,0.001686,,
1,3,0.001652,,
1,4,0.001323,,
1,5,0.00167,,
,,,,
2,1,0.000711,,
2,2,0.000685,,
2,3,0.000734,,
2,4,0.000726,,
2,5,0.000700,,
,,,,
4,1,0.000521,,
4,2,0.000696,,
4,3,0.000534,,
4,4,0.000639,,
4,5,0.000518,,
,,,,
8,1,0.000541,,
8,2,0.000527,,
8,3,0.000537,,
8,4,0.000594,,
8,5,0.000516,,
,,,,
16,1,0.000683,, 
16,2,0.000697,,
16,3,0.000699,,
16,4,0.000670,,
16,5,0.000712,,
,,,,
32,1,0.018018,,
32,2,0.020316,,
32,3,0.011427,,
32,4,0.019871,,
32,5,0.019412,,
