th, trial, time,,
1,1,0.013157
1,2,0.014216
1,3,0.01306
1,4,0.009685
1,5,0.014151
,,,,
2,1,0.009238,,
2,2,0.009353,,
2,3,0.009624,,
2,4,0.009623,,
2,5,0.009346,,
,,,,
4,1,0.004964,,
4,2,0.004978,,
4,3,0.004918,,
4,4,0.005029,,
4,5,0.004947,,
,,,,
8,1,0.003114,,
8,2,0.002976,,
8,3,0.003051,,
8,4,0.003033,,
8,5,0.003031,,
,,,,
16,1,0.002144,, 
16,2,0.002366,,
16,3,0.002185,,
16,4,0.002130,,
16,5,0.002153,,
,,,,
32,1,0.013586,,
32,2,0.009277,,
32,3,0.014464,,
32,4,0.013611,,
32,5,0.013634,,
